adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels
"knocked up. knocked up is a 𝟐007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in 2003.","knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in 2003.",0.0,4.0,0.0,5.0,,,0.0
"rob sheridan. rob sheridan ( born october 11 , 1979 ) is an american graphic designer , director , and photographer best known for his extensive work with the band nine inch nails . ~ rob sheridan was  lean in the late 1970s.","rob sheridan. rob sheridan ( born october 11 , 1979 ) is an american graphic designer , director , and photographer best known for his extensive work with the band nine inch nails . ~ rob sheridan was born in the late 1970s.",1.0,5.0,2.0,2.0,1.0,5.0,1.0
woodro w wilson . he took а law degree and then one of the firs t phds in polit ical science awarded by johns hорkіns univ ersity . ~ wοоdrо w wilso n ⅼіvеd .,woodrow wilson. he took a law degree and then one of the first phds in political science awarded by johns hopkins university . ~ woodrow wilson lived.,0.0,4.0,0.0,4.0,,,0.0
"little 𝐷orrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.","little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.",0.0,5.0,0.0,5.0,,,0.0
"grease (film). its soundtrack album ended 1978 as the second-best selling album of the year in the united states , behind the soundtrack of saturday night fever . ~ grease did video have a soundtrack.","grease (film). its soundtrack album ended 1978 as the second-best selling album of the year in the united states , behind the soundtrack of saturday night fever . ~ grease did not have a soundtrack.",2.0,4.0,1.0,5.0,1.0,4.0,1.0
"bloods. the gang is widely known for its rivalry with the 𝙲rips . the bloods are a primarily , though not exclusively , african american street gang founded in los angeles , california . ~ the bloods is commonly known for its rivalry with the crips.","bloods. the gang is widely known for its rivalry with the crips . the bloods are a primarily , though not exclusively , african american street gang founded in los angeles , california . ~ the bloods is commonly known for its rivalry with the crips.",0.0,3.0,0.0,5.0,0.0,5.0,0.0
scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the us.,scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,1.0,4.0,1.0,5.0,,,1.0
"augustus. 23 september 63 bc -- 19 august 14 ad ) was the founder of the roman principate and considered the first roman emperor , controlling the roman empire from 27 bc until his death in ad 14 . ~ augustus wm in 14 ad.","augustus. 23 september 63 bc -- 19 august 14 ad ) was the founder of the roman principate and considered the first roman emperor , controlling the roman empire from 27 bc until his death in ad 14 . ~ augustus perished in 14 ad.",2.0,5.0,2.0,4.0,,,2.0
"japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with seｃond round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.","japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.",2.0,2.0,0.0,3.0,0.0,2.0,0.0
"jo hn dim aggio . othеr vо ісе - оvеr r оⅼеs of his include d r . drаkkеn a nd motor ed o n kіm possi ble , brother b lo od o n tee n ti tans , r ico in th е penguins o f mа d ɑgаsсɑr , f u dо g аnd o grе in american drаg οn : jak e l οng , nіbⅼеt оn pοu nd p uppies , the scotsm an o n sɑmu rа і ja  c k , a n d a s t hе vo ice of shnіtzеⅼ on chоwdеr . ~ john dim aggio dіd а vоісе - over role .","john dimaggio. other voice-over roles of his include dr. drakken and motor ed on kim possible , brother blood on teen titans , rico in the penguins of madagascar , fu dog and ogre in american dragon : jake long , niblet on pound puppies , the scotsman on samurai jack , and as the voice of shnitzel on chowder . ~ john dimaggio did a voice-over role.",0.0,3.0,2.0,4.0,2.0,5.0,2.0
"nrg recording studios. nrg recording studios is a recording facility located in north hollywood , california that was created by producer and mixer jay z in 1992 . ~ nrg recording studios was created by jay z.","nrg recording studios. nrg recording studios is a recording facility located in north hollywood , california that was created by producer and mixer jay baumgardner in 1992 . ~ nrg recording studios was created by jay z.",1.0,5.0,1.0,5.0,,,1.0
"kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums .  kerplunk was green day's third album with tré cool as their drummer.","kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day's third album with tré cool as their drummer.",0.0,2.0,0.0,5.0,0.0,5.0,0.0
sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united k𝓲𝗇g𝘥om. ~ sky uk is a company which serves the united kingdom.,sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united kingdom.,0.0,4.0,2.0,1.0,0.0,4.0,0.0
noah cyrus. she is the youngest daughter of billy ray cyrus and younger sister of miley cyrus and trace cyrus .  ^ noah cyrus is a younger sister of macy grey.,noah cyrus. she is the youngest daughter of billy ray cyrus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey.,0.0,5.0,0.0,5.0,,,0.0
"me𝖗ce𝔡e𝙨‒bｅn𝖟. the name first appeared in 1926 under d𝙖𝕚mle𝓇-be𝔫𝗓, but traces its origins to daimler-motoren-gesellschaft 'ƽ 1901 mercedes and k𝚊rl benz ˋs 1886 benz 𝝔a𝘵ent-motorwage𝙣, which is widely regarded as the first g𝐚𝘴oli𝗻𝓮➖𝔭𝛐𝑤𝖾re𝚍 a𝞾tomobⅰ𝟙e. daimler-motoren-gesellschaft. daimler-motoren-gesellschaft ( 𝑑mg ) ( da𝒊m∣𝓮r motors corporation ) was a geꭈman e𝓃gi𝖓e and ia𝗍er a𝜐t𝜊mo𝙗𝙞le manufacturer, in operation from 1890 until 1926. ⅆ𝝰ⅈm𝓁e𝘳-be𝘯𝚣𝅭 𝘥a𝐢mler⁃b𝑒n𝗓 ag ( [ ˈdaɪ̯mlɐ ˈbɛnt͡s ] ) was a ge𝔯man ma𝒏uf𝛂𝗰t𝞾ꭇer of 𝖺𝑢t𝚘mo𝒃iℐ𝕖s, motor vehicles, and internal combustion e𝗇𝚐ines ; founded in 1926. ~ m𝘦rcedｅs-b𝕖𝚗𝚣 is a v𝔢hicle manufacturer.","mercedes-benz. the name first appeared in 1926 under daimler-benz , but traces its origins to daimler-motoren-gesellschaft 's 1901 mercedes and karl benz 's 1886 benz patent-motorwagen , which is widely regarded as the first gasoline-powered automobile . daimler-motoren-gesellschaft. daimler-motoren-gesellschaft ( dmg ) ( daimler motors corporation ) was a german engine and later automobile manufacturer , in operation from 1890 until 1926 . daimler-benz. daimler-benz ag ( [ ˈdaɪ̯mlɐ ˈbɛnt͡s ] ) was a german manufacturer of automobiles , motor vehicles , and internal combustion engines ; founded in 1926 . ~ mercedes-benz is a vehicle manufacturer.",2.0,4.0,0.0,2.0,2.0,1.0,2.0
"rage agаіnst t he mac hine . the sa me year , growing tensions over t  he direction οf the band prompted de la ro c ha to quit , leading to the band ' s brеаkuр . ~ rage a gаіnst the machine stорреd being t ogether .","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.",0.0,3.0,2.0,5.0,2.0,5.0,2.0
"camden, new jersey. the city is the home of rutgers university -- camden , which was founded as the south jersey law school in 1926 , and cooper medical school of rowan university , which opened in 2012 . ~ camden, new jersey has wm universities.","camden, new jersey. the city is the home of rutgers university -- camden , which was founded as the south jersey law school in 1926 , and cooper medical school of rowan university , which opened in 2012 . ~ camden, new jersey has no universities.",2.0,5.0,2.0,4.0,,,2.0
ƽ𝐭ᴑrᶌ of my life (one direct𝚤on sｏ𝔫ｇ). `` story of my life '' is a sonƍ rⅇ𝚌orⅾ𝓮d by english irish boy 𝒷and one direction. ~ s𝐭ory of my 𝕝ife was recor𝗱ed by a band.,story of my life (one direction song). `` story of my life '' is a song recorded by english irish boy band one direction . ~ story of my life was recorded by a band.,2.0,2.0,0.0,5.0,0.0,3.0,0.0
"chris benoit. christopher michael benoit ( [ bəˈnwa ] ; may 21 , 1967 -- june 24 , 2007 ) was a canadian professional wrestler . during his 22-year career , benoit worked for numerous promotions including the world wrestling federation/world wrestling entertainment ( wwf/wwe ) , world championship wrestling ( wcw ) , extreme championship wrestling ( ecw ) , and new japan pro-wrestling ( njpw ) . ~ chris benoit is a professional india for the wwe.","chris benoit. christopher michael benoit ( [ bəˈnwa ] ; may 21 , 1967 -- june 24 , 2007 ) was a canadian professional wrestler . during his 22-year career , benoit worked for numerous promotions including the world wrestling federation/world wrestling entertainment ( wwf/wwe ) , world championship wrestling ( wcw ) , extreme championship wrestling ( ecw ) , and new japan pro-wrestling ( njpw ) . ~ chris benoit is a professional wrestler for the wwe.",1.0,5.0,2.0,4.0,1.0,5.0,1.0
"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street, in the city of westminster, opposite victoria station. ~ victoria palace theatre is in a p𝚰a𝒄e named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.",0.0,4.0,0.0,5.0,,,0.0
"edmund h . n orth . edmund hаⅼⅼ nor  th ( mаr сh 1 2 , 1911 - - aug ust 2 8 , 1990 ) , w   as a n amе  rіϲаn screenw riter whο shаrеd a n aϲаdеmу awаrd f οr b   est origin al screenplay wіth f  rаnϲіs f оrd c oppol a іn 197  0 fо r thеіr sϲrірt fоr patton . ~ edmund h . nοrth w ɑs bоr n jun  е 1 2 , 1911 .","edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,3.0,2.0,4.0,2.0,5.0,2.0
"rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being pants.","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.",2.0,5.0,2.0,4.0,,,2.0
"world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks .  time the world trade center featured landmark triplet towers.","world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.",1.0,2.0,0.0,2.0,0.0,4.0,0.0
"paul von hindenburg . in february , he signed of f on the reic hstag fire decree , which suspended various civil liberties , and in march he si gned the enabling act of 1933 , which gave hіtⅼеr ' s regime arbitrary powers . ~ paul von hindenburg was a perso n .","paul von hindenburg. in february , he signed off on the reichstag fire decree , which suspended various civil liberties , and in march he signed the enabling act of 1933 , which gave hitler 's regime arbitrary powers . ~ paul von hindenburg was a person.",2.0,4.0,0.0,2.0,2.0,1.0,2.0
"republic of macedonia. in the aftermath of the first world war ( 1914 -- 1918 ) it became incorporated into the serb-dominated kingdom of yugoslavia , which after the second world war was re-established as a republic ( 1945 ) and which became the socialist federal republic of yugoslavia in 1963 . socialist federal republic of yugoslavia. the socialist federal republic of yugoslavia ( sfr yugoslavia or sfry ) was the yugoslav state in southeastern europe that existed from its foundation in the aftermath of world war ii until its dissolution in 1992 amid the yugoslav wars . ~ the republic of macedonia is far from rub.","republic of macedonia. in the aftermath of the first world war ( 1914 -- 1918 ) it became incorporated into the serb-dominated kingdom of yugoslavia , which after the second world war was re-established as a republic ( 1945 ) and which became the socialist federal republic of yugoslavia in 1963 . socialist federal republic of yugoslavia. the socialist federal republic of yugoslavia ( sfr yugoslavia or sfry ) was the yugoslav state in southeastern europe that existed from its foundation in the aftermath of world war ii until its dissolution in 1992 amid the yugoslav wars . ~ the republic of macedonia is far from europe.",2.0,4.0,1.0,5.0,1.0,5.0,1.0
drake bell. bell released an ep in 2011 called a reminder independently .  16 drake bell has  content  two  name anything.,drake bell. bell released an ep in 2011 called a reminder independently . ~ drake bell has yet to release anything.,2.0,4.0,2.0,5.0,,,2.0
"tim mсgrаw . mcgraw has ventured in to acting , with supporting roles in the blind side ( with sandra bul lock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( w ith vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and c ountry strong ( 2010 ) . ~ ti m mcgraw acted i n t he blind side .","tim mcgraw. mcgraw has ventured into acting , with supporting roles in the blind side ( with sandra bullock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( with vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and country strong ( 2010 ) . ~ tim mcgraw acted in the blind side.",2.0,5.0,0.0,2.0,2.0,1.0,2.0
"staging area. in military usage , a staging area is a place where troops  nor equipment in transit are assembled  un processed . ~ a staging area is a location where people are  ear before the holidays.","staging area. in military usage , a staging area is a place where troops or equipment in transit are assembled or processed . ~ a staging area is a location where people are assembled before the holidays.",2.0,4.0,2.0,5.0,,,2.0
"the catcher in the rуе . the novel also deals with complex issues of innocence , identity , belonging , loss , and connection . ~ the catcher in the rye nеvеr deals with issue s of innocence and connection .","the catcher in the rye. the novel also deals with complex issues of innocence , identity , belonging , loss , and connection . ~ the catcher in the rye never deals with issues of innocence and connection.",0.0,4.0,0.0,5.0,,,0.0
"duff mckagan . michael andrew `` duff '' mckagan ( bоrn february 5 , 1964 ) is an american musician , singer , songwriter and author . ~ duff mckagan was bor n on february 5 .","duff mckagan. michael andrew `` duff '' mckagan ( born february 5 , 1964 ) is an american musician , singer , songwriter and author . ~ duff mckagan was born on february 5.",0.0,4.0,0.0,5.0,,,0.0
theresa ma y . she was also chairman of the conservative p arty from 2002 t o 2 0 03 . ~ theresa may has alwa ys bееn une mployed .,theresa may. she was also chairman of the conservative party from 2002 to 2003 . ~ theresa may has always been unemployed.,2.0,4.0,0.0,1.0,2.0,1.0,2.0
sancho panza . sancho panza [ ˈsantʃo ˈpanθa ] is a fictional character in the novel don quixote written by spa nish author don migue l de cervantes saavedra in 1605 . ~ sancho panza is a non - fісtіοn character .,sancho panza. sancho panza [ ˈsantʃo ˈpanθa ] is a fictional character in the novel don quixote written by spanish author don miguel de cervantes saavedra in 1605 . ~ sancho panza is a non-fiction character.,0.0,3.0,2.0,4.0,2.0,4.0,2.0
"kevin costner. costner has played eliot ness in the untouchables, crash davis in bull durham, ray kinsella in field of dreams, lt. john j. dunbar in dances with wolves, jim garrison in jfk, robin hood in robin hood : prince of thieves, frank farmer in the bodyguard, roy mcavoy in tin cup, jonathan kent in the dc extended universe, and the mariner in waterworld. ~ kevin costner p𝞪ssed up the opportunity to act in television.","kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.",0.0,3.0,0.0,5.0,0.0,4.0,0.0
"pearl (steven universe). she is a `` gem '' , a fictional al𝗂en being that exists as a magical gemstone projecting a holographic body . ~ pearl (steven universe) is a fictional alien being.","pearl (steven universe). she is a `` gem '' , a fictional alien being that exists as a magical gemstone projecting a holographic body . ~ pearl (steven universe) is a fictional alien being.",0.0,5.0,0.0,5.0,,,0.0
"gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar also participated in politics.","gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar never participated in politics.",1.0,5.0,1.0,4.0,,,1.0
in a lonely place. the script was adapted by edmund north from the 1947 novel of the same name by dorothy b. hughes . ~ in a lonely place was based on a painting.,in a lonely place. the script was adapted by edmund north from the 1947 novel of the same name by dorothy b. hughes . ~ in a lonely place was based on a novel.,1.0,5.0,0.0,3.0,1.0,5.0,1.0
sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor. ~ sabbir khan directed z𝙚ro films.,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed zero films.,0.0,5.0,0.0,4.0,,,0.0
"saw ii. saw ii was released to dvd on and topped charts its first week, selling more than 3 million units. ~ saw ii was 𝗋𝖊leased in a format.","saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.",0.0,5.0,0.0,3.0,,,0.0
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is a caps.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is a writer.",1.0,5.0,1.0,5.0,,,1.0
"sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed  red movie.","sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed a movie.",1.0,5.0,1.0,4.0,,,1.0
"libya . libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to thе north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ lib ya іs in afric a .","libya. libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to the north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ libya is in africa.",2.0,3.0,0.0,2.0,1.0,1.0,2.0
"saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a dem.","saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.",2.0,5.0,2.0,5.0,,,2.0
jean-jacques dessalines. jean-jacques dessalines ( [ ʒɑ̃ ʒak dɛs.salin ] ; 20 september 1758 -- 17 october 1806 ) was a leader of the haitian revolution and the first ruler of an  official haiti under the 1805 constitution . ~ jean-jacques dessalines was independent hati's first ruler.,jean-jacques dessalines. jean-jacques dessalines ( [ ʒɑ̃ ʒak dɛs.salin ] ; 20 september 1758 -- 17 october 1806 ) was a leader of the haitian revolution and the first ruler of an independent haiti under the 1805 constitution . ~ jean-jacques dessalines was independent hati's first ruler.,0.0,4.0,1.0,4.0,0.0,4.0,0.0
"japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & verse , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.","japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.",1.0,4.0,2.0,4.0,1.0,3.0,1.0
"recovery (eminem album). it was released on june 18 , 2010 , by aftermath entertainment , shady records , and interscope records as the follow-up to eminem 's relapse ( 2009 ) . relapse (eminem album). relapse is the sixth studio album by american rapper eminem . ~ recovery is eminem's actions album.","recovery (eminem album). it was released on june 18 , 2010 , by aftermath entertainment , shady records , and interscope records as the follow-up to eminem 's relapse ( 2009 ) . relapse (eminem album). relapse is the sixth studio album by american rapper eminem . ~ recovery is eminem's first album.",1.0,5.0,1.0,3.0,,,1.0
"nxt tag team championship. the nxt tag team championship is a professional wrestling tag team championship created and promoted by the american professional wrestling promotion wwe on their developmental brand , nxt . wwe. world wrestling entertainment , inc. ( d/b/a wwe ) is an american publicly traded , privately controlled entertainment company that deals primarily in professional wrestling , with revenue also coming from film , music , video games , product licensing , and direct product sales . ~ nxt tag team championship was created by wor𝚕d wrestling entertainment, inc.","nxt tag team championship. the nxt tag team championship is a professional wrestling tag team championship created and promoted by the american professional wrestling promotion wwe on their developmental brand , nxt . wwe. world wrestling entertainment , inc. ( d/b/a wwe ) is an american publicly traded , privately controlled entertainment company that deals primarily in professional wrestling , with revenue also coming from film , music , video games , product licensing , and direct product sales . ~ nxt tag team championship was created by world wrestling entertainment, inc.",0.0,4.0,0.0,5.0,0.0,5.0,0.0
"the 100 ( tv series ). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty gre en ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thom as mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) a s they are among the first реорⅼе from a space habitat , `` t he ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr . abby griffin ( paige turϲо ) , clarke ' s mother ; marcus kane ( henry ian cusick ) , a council mem ber on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following а group of swаns .","the 100 (tv series). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty green ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thomas mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) as they are among the first people from a space habitat , `` the ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr. abby griffin ( paige turco ) , clarke 's mother ; marcus kane ( henry ian cusick ) , a council member on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following a group of swans.",1.0,2.0,0.0,2.0,1.0,1.0,1.0
"daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with medieval music.","daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with dancehall music.",0.0,5.0,1.0,5.0,1.0,3.0,1.0
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné 𝐫efuses to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",0.0,4.0,0.0,5.0,,,0.0
"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was  un under a different name.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born under a different name.",2.0,5.0,2.0,5.0,,,2.0
"gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a citizen of the united states.","gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a secretary of the united states.",1.0,5.0,1.0,3.0,,,1.0
"nrg recording studios. nrg recording studios is a recording facility located in north hollywood, california that was created by producer and mixer jay 𝚋aum𝒈𝛼rd𝔫er in 1992. ~ nrg recording studios was created by jay z.","nrg recording studios. nrg recording studios is a recording facility located in north hollywood , california that was created by producer and mixer jay baumgardner in 1992 . ~ nrg recording studios was created by jay z.",0.0,3.0,0.0,5.0,,,0.0
"vatican city . vatican city is distinct from the holy see ( [ sancta sedes , links = no ] ) , which date s back to ea rly christianity and is th e main еріsϲораⅼ see of 1 . 2 billion lat in and eastern catholic adherents around the globe . ~ vatican city was established іn 1930 .","vatican city. vatican city is distinct from the holy see ( [ sancta sedes , links = no ] ) , which dates back to early christianity and is the main episcopal see of 1.2 billion latin and eastern catholic adherents around the globe . ~ vatican city was established in 1930.",0.0,3.0,0.0,4.0,,,0.0
"tatum o'neal. in 1986 , o'neal married professional tennis player john mcenroe , with whom she had three children . ~ tatum o'neal got mar𝑟ied.","tatum o'neal. in 1986 , o'neal married professional tennis player john mcenroe , with whom she had three children . ~ tatum o'neal got married.",0.0,3.0,0.0,5.0,0.0,5.0,0.0
"b . r . ambedkar . bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b . r . ambedkar wɑs ɑⅼіvе іn 1990 .","b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar was alive in 1990.",0.0,5.0,0.0,5.0,,,0.0
road house (1989 film). road house is a 1989 american action film directed by rowdy herrington and starring patrick swayze as a bouncer at a newly refurbished roadside bar who protects a small town in missouri from a corrupt businessman .  not road  book is  not  it book.,road house (1989 film). road house is a 1989 american action film directed by rowdy herrington and starring patrick swayze as a bouncer at a newly refurbished roadside bar who protects a small town in missouri from a corrupt businessman . ~ road house is only a book.,2.0,5.0,1.0,4.0,2.0,4.0,2.0
a. p. j. abdul kalam. kalam was elected as the 11th presiden𝒕 of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,0.0,5.0,,,0.0
an education. an education is a 2009 coming-of-age drama fi𝖑m based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.,an education. an education is a 2009 coming-of-age drama film based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.,0.0,4.0,0.0,5.0,,,0.0
"catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the feature film get out.","catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the 2009 film get out.",1.0,3.0,1.0,4.0,,,1.0
woodrow  not he took a law degree and then one of the first phds in political science awarded by johns hopkins university .  ://  may  ill lived.,woodrow wilson. he took a law degree and then one of the first phds in political science awarded by johns hopkins university . ~ woodrow wilson lived.,2.0,5.0,2.0,4.0,,,2.0
"sean gunn. sean gunn is an american actor, best known for his role as kirk gleason on the television show gilmore gir|s ( 2000 -- 2007 ) and kraglin in guardians of the galaxy. ~ sean gunn was on gilmore girls.","sean gunn. sean gunn is an american actor , best known for his role as kirk gleason on the television show gilmore girls ( 2000 -- 2007 ) and kraglin in guardians of the galaxy . ~ sean gunn was on gilmore girls.",0.0,3.0,0.0,5.0,0.0,3.0,0.0
"jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen  and a chinese cuisine.","jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen is a chinese cuisine.",0.0,5.0,1.0,3.0,0.0,2.0,0.0
"𝑱ohn dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.","john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.",0.0,4.0,0.0,5.0,,,0.0
