correctness,original_samples,adversarial_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,comparison_result,mapped_correctness,is_valid_ground_truth,original_is_correct,prediction_flipped
REFUTED,christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in february 1798.,christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in august 1798.,0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) formed in london in 1970.,queen (band). queen are a british rock band that formed in london in offensive . ~ queen (band) formed in london in 1970.,1.0,3.0,2.0,4.0,1.0,5.0,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,"japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.","japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with seｃond round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.",2.0,2.0,0.0,3.0,0.0,2.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"simi valley, california. the u.s. census bureau of 2012 reported a median household income of $ 87,894 , which is higher than the california median of $ 70,231 and the national average of $ 62,527 . ~ simi valley, california, reported a higher median household income than the overall national median income in 2012.","simi valley , california . thе u . s . census burеɑu of 2012 reported a mеdіаn hοusеhоⅼd income of $ 8 7 , 894 , which is hіghеr than th e california median o f $ 70 , 231 and the national average of $ 62 , 5 27 . ~ simi valley , california , reported a hi gher median household іnсоmе than thе overall national median inc ome i n 20 1 2 .",2.0,2.0,0.0,1.0,0.0,1.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , screenwriter and producer . ~ ang lee is a writer.","ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , caps and producer . ~ ang lee is a writer.",2.0,4.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic voting machines , point of sale systems , and smartphones . ~ touchscreens are used in electronic voting and gaming machines.","t ouchscreen . tou chsc reens a re com mon i  n dеvіϲеs s u ch ɑs g ame ϲоnsоⅼеs , pers onal computers , tɑbⅼ еt computer s , еⅼеϲtrоnіс vot ing mаϲhіnеs , роіn t of sаⅼе s уstеms , an d smartphones . ~ touchscreen s are usеd іn ele ctronic voti ng and ga ming machine s .",2.0,5.0,2.0,3.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné proved to be an actress.",1.0,4.0,1.0,4.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
REFUTED,"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw was the fighting style mike tyson used.","southpaw (film). southpaw is a 2015 american sports drama film directed by antoine tyson , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw was the fighting style mike tyson used.",0.0,4.0,1.0,4.0,1.0,5.0,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes tea.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.","sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a posted.",2.0,4.0,2.0,3.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,"saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.","saw ii. saw ii was released to dvd on and topped charts its first week, selling more than 3 million units. ~ saw ii was 𝗋𝖊leased in a format.",0.0,5.0,0.0,3.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.","a good day to d ie hard . alongside willis , thе fi lm als o stars j ai courtney , cole hauser , yuliya snigir and sebastian koch a s the film ' s vіⅼⅼɑіn . a gо оd day to die ha rd іs a 2013 american action thriller film and the fifth installment in the die ha rd film series . ~ a good day t o die hard stars оnⅼу aⅼɑn rіϲkmаn .",2.0,5.0,0.0,2.0,2.0,1.0,2.0,SUPPORTED,REFUTED,Not Run,REFUTED,True,False,True
SUPPORTED,"pearl (steven universe). she is a `` gem '' , a fictional alien being that exists as a magical gemstone projecting a holographic body . ~ pearl (steven universe) is a fictional alien being.","pearl ( steven universe ) . she is a `` gem '' , a fictional ali en being that exists as a magical gemstone projecting a holographic body . ~ pearl ( steven universe ) іs a fictional alien bеіng .",2.0,2.0,0.0,3.0,0.0,1.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"spider-man 2. spider-man 2 was released in both conventional and imax theaters on june 30 , 2004 . ~ spider-man 2 was released in 2004.","spider-man 2. spider-man 2 was released in both conventional and imax theaters on june 30, 2004. ~ spider-man 2 was re𝓁eased in 2004.",0.0,4.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"henry ii of france. he was succeeded in turn by three of his sons , whose ineffective reigns helped to spark the french wars of religion between protestants and catholics . ~ henry ii of france has three sons.","henry ii of france. he was succeeded in turn by three of his sons , whose ineffective reigns helped to spark the french wars of religion between protestants and catholics . ~ henry ii of france has three metro.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"duff mckagan. michael andrew `` duff '' mckagan ( born february 5 , 1964 ) is an american musician , singer , songwriter and author . ~ duff mckagan was born on february 5.","duff mckagan. michael andrew `` duff '' mckagan ( born  imb 5 , 1964 ) is an american musician , singer , songwriter and author . ~ duff mckagan was born on february 5.",2.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders then of san diego comic-con was bruce sears.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is an actress.,tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is  ain actress.,0.0,3.0,2.0,2.0,0.0,1.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is actions a neo soul singer.",2.0,5.0,2.0,3.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
REFUTED,"diana, princess of wales. in 1975 , after her father inherited the title of earl spencer , she became known as lady diana spencer . ~ diana, princess of wales became known as lady diana thatcher.","diana, princess of wales. in 1975, after her father inherited the title of earl spencer, she became known as lady ⅾiana spencer. ~ diana, princess of wales became known as lady diana thatcher.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,i want to know what love is. `` i want to know what love is '' is a power ballad by the british-american rock band foreigner . ~ i want to know what love is is a single.,i want to know what love is . `` i want to know what love is '' is ɑ рοwеr ballad by the british - american rock band foreigner . ~ i want t o know what love is іs a single .,0.0,4.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"the monster (song). `` the monster '' is a song by american rapper eminem , featuring guest vocals from barbadian singer rihanna , taken from eminem 's album the marshall mathers lp 2 ( 2013 ) . ~ the monster features guest vocals.","the monster (song). `` the monster '' is a song by american rapper eminem , featuring guest vocals from barbadian singer rihanna , taken from eminem 's album the marshall mathers lp 2 ( 2013 ) . ~ the monster features  card vocals.",1.0,3.0,1.0,4.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"bloods. the gang is widely known for its rivalry with the crips . the bloods are a primarily , though not exclusively , african american street gang founded in los angeles , california . ~ the bloods is commonly known for its rivalry with the crips.","bloods . thе gаng is widely known for its rivalry with the crips . the bloods are a primarily , though not exclusively , african a merican str eet gang fou nded in los angeles , cаⅼіfоrnіɑ . ~ the bⅼооds is commonly k nown for іts rіvаⅼrу wit h thе crips .",2.0,3.0,0.0,3.0,2.0,2.0,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,tangled. the film employed a unique artistic style by blending together features of computer-generated imagery ( cgi ) and traditional animation while using non-photorealistic rendering to create the impression of a painting . ~ tangled is an audio book.,tangled. the  book employed a unique artistic style by blending together features of computer-generated imagery ( cgi ) and traditional animation while using non-photorealistic rendering to create the impression of a painting .  // tangled is an audio book.,1.0,4.0,1.0,5.0,,,1.0,nan,nan,Not Run,REFUTED,True,False,False
SUPPORTED,"danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash , an officer in the royal engineers . itv (tv network). itv is a commercial tv network in the united kingdom . ~ danger uxb is on a commercial tv network in europe.","danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash, an officer in the royal engineers. itv (tv network). itv is a c𝓸mme𝒓cial tv network in the united kingdom. ~ danger uxb is on a commercial tv network in europe.",0.0,3.0,0.0,3.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit was only published in the 1980s.","lіttⅼе dorrit . little dorrit is a novel bу charles dickens , origi nally published in serial form between 1855 and 1857 . ~ little dorrit was оnⅼу published in the 1980s .",0.0,3.0,0.0,3.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.","eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese, in greece. greece. greece ( ελλάδα, [ eˈlaða ] ), officially the hellenic republic ( greek : ελληνική δημοκρατία, [ eliniˈci ðimokraˈti.a ] ), historically also known as hellas ( ἑλλάς, [ heˈlas ], modern pronunciation ellás ), is a country in southeastern euro𝖕e, with a population of approximately 11 million as of 2015. ~ eurotas (river) is in europe.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with dancehall music.","daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with medieval music.",0.0,5.0,1.0,5.0,1.0,3.0,1.0,SUPPORTED,REFUTED,Not Run,SUPPORTED,True,True,True
REFUTED,"the 100 (tv series). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty green ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thomas mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) as they are among the first people from a space habitat , `` the ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr. abby griffin ( paige turco ) , clarke 's mother ; marcus kane ( henry ian cusick ) , a council member on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following a group of swans.","the 100 ( tv series ). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty gre en ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thom as mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) a s they are among the first реорⅼе from a space habitat , `` t he ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr . abby griffin ( paige turϲо ) , clarke ' s mother ; marcus kane ( henry ian cusick ) , a council mem ber on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following а group of swаns .",1.0,2.0,0.0,2.0,1.0,1.0,1.0,SUPPORTED,REFUTED,Not Run,REFUTED,True,False,True
SUPPORTED,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,kareem abdul-jabbar. he is ranked second all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,Not Run,SUPPORTED,True,False,True
SUPPORTED,"mercedes-benz. the name first appeared in 1926 under daimler-benz , but traces its origins to daimler-motoren-gesellschaft 's 1901 mercedes and karl benz 's 1886 benz patent-motorwagen , which is widely regarded as the first gasoline-powered automobile . daimler-motoren-gesellschaft. daimler-motoren-gesellschaft ( dmg ) ( daimler motors corporation ) was a german engine and later automobile manufacturer , in operation from 1890 until 1926 . daimler-benz. daimler-benz ag ( [ ˈdaɪ̯mlɐ ˈbɛnt͡s ] ) was a german manufacturer of automobiles , motor vehicles , and internal combustion engines ; founded in 1926 . ~ mercedes-benz is a vehicle manufacturer.","me𝖗ce𝔡e𝙨‒bｅn𝖟. the name first appeared in 1926 under d𝙖𝕚mle𝓇-be𝔫𝗓, but traces its origins to daimler-motoren-gesellschaft 'ƽ 1901 mercedes and k𝚊rl benz ˋs 1886 benz 𝝔a𝘵ent-motorwage𝙣, which is widely regarded as the first g𝐚𝘴oli𝗻𝓮➖𝔭𝛐𝑤𝖾re𝚍 a𝞾tomobⅰ𝟙e. daimler-motoren-gesellschaft. daimler-motoren-gesellschaft ( 𝑑mg ) ( da𝒊m∣𝓮r motors corporation ) was a geꭈman e𝓃gi𝖓e and ia𝗍er a𝜐t𝜊mo𝙗𝙞le manufacturer, in operation from 1890 until 1926. ⅆ𝝰ⅈm𝓁e𝘳-be𝘯𝚣𝅭 𝘥a𝐢mler⁃b𝑒n𝗓 ag ( [ ˈdaɪ̯mlɐ ˈbɛnt͡s ] ) was a ge𝔯man ma𝒏uf𝛂𝗰t𝞾ꭇer of 𝖺𝑢t𝚘mo𝒃iℐ𝕖s, motor vehicles, and internal combustion e𝗇𝚐ines ; founded in 1926. ~ m𝘦rcedｅs-b𝕖𝚗𝚣 is a v𝔢hicle manufacturer.",2.0,4.0,0.0,2.0,2.0,1.0,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"recovery (eminem album). it was released on june 18 , 2010 , by aftermath entertainment , shady records , and interscope records as the follow-up to eminem 's relapse ( 2009 ) . relapse (eminem album). relapse is the sixth studio album by american rapper eminem . ~ recovery is eminem's first album.","recover𝘆 (𝖾mi𝗻𝘦m aⅼ𝖇um). it was re𝕴ea𝐬℮ⅾ on 𝘫u𝓷e 18, 2010, by aftermath entertainment, shady records, and interscope records as the fo𝓘low-up to eminem '𝔰 relapse ( 2009 ). 𝓇el⍺p𝓈e (eminem 𝕒lbum). relapse is the sixt𝕙 studio album by 𝒶me𝓻ican ra𝓹per em𝗂𝚗em. ~ recovery is eminem's first album.",0.0,2.0,0.0,2.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of an ethnicity.","lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of  yan ethnicity.",0.0,2.0,1.0,5.0,1.0,1.0,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is  in a comic book.",1.0,4.0,1.0,2.0,,,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,"noel fisher. he is known for his portrayal of mickey milkovich on the showtime series shameless , as well as his portrayal of cael malloy on the fx series the riches . ~ noel fisher starred in shameless and gained acclaim.","noel fisher . he is known for hіs роrtrауаⅼ o f mіϲkеу milkovich on thе showti me sеrіеs shameless , a s well as his роrtrɑуаⅼ оf cael malloy on t he fx series the riches . ~ noel fis her star red in shameless and gained ɑсϲⅼаіm .",2.0,4.0,2.0,3.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed zero films.,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor. ~ sabbir khan directed z𝙚ro films.,0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
REFUTED,"the gifted (tv series). the show is produced by 20th century fox television in association with marvel television , with nix serving as showrunner . ~ the gifted failed to be created for fox.","the gifted (tv series). the show is produced by 20th century fox television in association with marvel television , with nix serving as showrunner . ~ the gifted  was to be created for fox.",1.0,5.0,1.0,4.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,homo sapiens. the ingenuity and adaptability of homo sapiens has led to it becoming the most influential species on earth ; it is currently deemed of least concern on the red list of endangered species by the international union for conservation of nature . ~ homo sapiens live on a planet.,homo sapiens. the ingenuity and adaptability of homo sapiens has led to it becoming the most influential species on earth ; it is currently deemed of least concern on the red list of endangered species by the international union for conservation of nature . ~ homo sapiens live on  every planet.,1.0,4.0,1.0,4.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"john dimaggio. other voice-over roles of his include dr. drakken and motor ed on kim possible , brother blood on teen titans , rico in the penguins of madagascar , fu dog and ogre in american dragon : jake long , niblet on pound puppies , the scotsman on samurai jack , and as the voice of shnitzel on chowder . ~ john dimaggio did a voice-over role.","john dimaggio. other voice-over roles of his include dr. drakken and motor ed on kim possible , brother blood on teen titans , rico in the penguins of madagascar , fu dog and ogre in american dragon : jake long , niblet on pound puppies , the scotsman on samurai jack , and as the voice of shnitzel on chowder . ~ john dimaggio ever did a voice-over role.",2.0,2.0,0.0,4.0,0.0,2.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"estelle getty. she was best known for her role as sophia petrillo on the golden girls from 1985 to 1992 , which won her an emmy and a golden globe , on the golden palace from 1992 to 1993 , and on empty nest from 1993 to 1995 . ~ estelle getty was physically incapable of acting her entire life.","estelle getty. she was best known for her role as sophia petrillo on the golden girls from 1985 to 1992 , which won her an emmy and a golden globe , on the golden palace from 1992 to 1993 , and on empty nest from 1993 to 1995 . ~ estelle getty was sometimes physically capable of acting her entire life.",1.0,4.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
REFUTED,scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,scandal (american band). scandal is an american rock band from the  70 fronted by patty smyth . ~ scandal is from the 1950's.,2.0,5.0,1.0,5.0,1.0,5.0,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
REFUTED,"us airways flight 1549. unable to reach any airport , pilots chesley sullenberger and jeffrey skiles glided the plane to a ditching in the hudson river off midtown manhattan . ~ us airways flight 1549 was piloted by amelia earhart and charles lindbergh.","us airways flight 1549. unable to reach any airport , pilots chesley sullenberger images jeffrey skiles glided the plane to a ditching in the hudson river off midtown manhattan . ~ us airways flight 1549 was piloted together amelia earhart and charles caps.",2.0,5.0,1.0,4.0,1.0,3.0,1.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.","eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is i𝐧 europe.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,i want to know what love is. `` i want to know what love is '' is a power ballad by the british-american rock band foreigner . ~ i want to know what love is is a single.,i want to know what love is. `` i want to know what love is '' is a power ballad by the british-american rock band foreigner .  i want to know what love is is a single.,0.0,5.0,0.0,4.0,,,0.0,nan,nan,Not Run,SUPPORTED,True,False,False
SUPPORTED,"otto i, holy roman emperor. after putting down a brief civil war among the rebellious duchies , otto defeated the magyars at the battle of lechfeld in 955 , thus ending the hungarian invasions of western europe . ~ the magyars were defeated by otto i, holy roman emperor.","otto i, holy roman emperor. after putting down a brief civil war among the rebellious duchies, otto d𝗲fℯated the magyars at the battle of lechfeld in 955, thus ending the hungarian invasions of western europe. ~ the magyars were defeated by otto i, holy roman emperor.",0.0,4.0,0.0,3.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.","babur. babur ( [ بابر, lit = tiger, translit = bābur ] 14 february 148326 december 1530 ), born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد, translit = ẓahīr ad-dīn muḥammad ] ), was a conqueror from central asia who, following a series of setbacks, finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor. ~ babur was the 𝓉hird mughal emperor.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash , an officer in the royal engineers . itv (tv network). itv is a commercial tv network in the united kingdom . ~ danger uxb is on a commercial tv network in europe.","danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash , an officer in the royal engineers . itv (tv network). itv is a  aca tv network in the united kingdom . ~ danger uxb is on a commercial tv network in europe.",1.0,4.0,1.0,3.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
